,Target,AGE,S1,Q3,Q4,Q5a,Q5b,Q5c,Q5d,Q5e,Q5g,Q5h,Q5i,Q5j,Q5l,Q20,Q21,Q22,Q25,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q35,Q36a,Q36b,Q36c,Q31,Q37a,Q38,Postcode_clean,Ward,OutputArea,Number of council services accessed,Information about public services,Publication Use,Usefulness of offline publication,Financial Worry
906,0.0,30.0,0.0,other,0.0,1.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,13.0,179.0,0.0,0.5,Online,3098.8,Not Concerned
907,0.0,,0.0,other,0.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,5.0,5.0,6.0,2.0,2.0,2.0,1.0,0.0,5.0,321.0,13.0,180.0,0.0,2.0,Online,3099.8,Not Concerned
908,0.0,21.0,1.0,other,10.0,0.0,0.0,5.0,2.0,3.0,2.0,2.0,4.0,1.0,4.0,1.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,5.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,5.0,322.0,13.0,179.0,0.0,,Online,3100.8,Not Concerned
909,0.0,32.0,1.0,other,6.0,2.0,2.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,4.0,5.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,8.0,323.0,13.0,179.0,0.0,2.6,Online and Offline,2635.2,Not Concerned
910,0.0,45.0,1.0,other,0.0,4.0,4.0,1.0,4.0,3.0,0.0,2.0,4.0,1.0,1.0,1.0,0.0,3.0,4.0,4.0,2.0,0.0,0.0,4.0,4.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,13.0,180.0,0.0,1.4,Online and Offline,2635.8,Not Concerned
911,0.0,,0.0,other,0.0,4.0,1.0,4.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,13.0,181.0,0.0,2.6,Online,3103.0,Not Concerned
912,0.0,45.0,1.0,other,12.0,3.0,1.0,3.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0,2.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,5.0,5.0,2.0,10.0,0.0,0.0,0.0,4.0,1.0,5.0,326.0,13.0,179.0,0.0,1.75,None,3104.0,Not Concerned
913,0.0,58.0,1.0,other,15.0,1.0,4.0,2.0,4.0,1.0,2.0,4.0,2.0,2.0,3.0,0.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,327.0,13.0,181.0,0.0,0.6,Online,3105.0,Not Concerned
914,0.0,69.0,0.0,other,0.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,1.0,1.0,4.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,5.0,5.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,13.0,182.0,0.0,1.2,Online and Offline,3031.8,Not Concerned
915,0.0,54.0,1.0,other,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,4.0,4.0,1.0,0.0,0.0,11.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,13.0,182.0,0.0,1.4,Online and Offline,3032.6,Not Concerned
916,0.0,47.0,1.0,other,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,4.0,2.0,2.0,0.0,0.0,4.0,4.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,13.0,182.0,0.0,0.5,Online and Offline,2803.8,Not Concerned
917,0.0,69.0,0.0,other,9.0,1.0,4.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,4.0,0.0,0.0,2.0,4.0,4.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,13.0,182.0,0.0,0.8,Online and Offline,710.8,Not Concerned
918,0.0,40.0,1.0,other,10.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,0.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,13.0,182.0,0.0,0.8,Online and Offline,2638.4,Not Concerned
